,Category,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 1
1,Closed software,Closed source software
2,Closed software,proprietary software
1,Connecting infra,Centralized vs decentralized/discipline-specific
2,Connecting infra,"discovery - knowing what's out there, how the projects relate, and where collaboration is even possible takes a lot of time and effort."
3,Connecting infra,Fragmentation
4,Connecting infra,Identify project activities that you collaborate on
5,Connecting infra,"Integration of domains (osc, ori, rdm, rms). Central indexing and dissemination, connect national infrastructure with local infrastruct, and with international infrastructure."
6,Connecting infra,"Many smaller infrastructure projects, relevant for certain communities, whose connection relies on bigger national infrastructures who may not have capacity"
7,Connecting infra,"National coordination of local initiatives, also in the interest of cost effectiveness and sustainability.  Universities and HBO cannot individually develop and maintain local infrastructures."
8,Connecting infra,need for small-scale/niche infrastructure solutions
9,Connecting infra,Project-based planning
10,Connecting infra,"Recogise the position of my own infra&project and how it connects, can be improved and made sustainable"
11,Connecting infra,"Stop funding ""solo"" infrastructures."
12,Connecting infra,Thinking about connecting to other systems while they are still being developed
13,Connecting infra,Create incentives (in the osnl call)
1,Governance,Common goals
2,Governance,Communication
3,Governance,Community
4,Governance,Coordination (regie) / leadership
5,Governance,Finance
6,Governance,Finance in the long run
7,Governance,Focus
8,Governance,Get good ownership of national infrastructure
9,Governance,Governance
10,Governance,Governance
11,Governance,Governance
12,Governance,Governance
13,Governance,Guard digital sovereignty. Guard scientific integrity.
14,Governance,Herding introverted cats
15,Governance,"Organisational alignment (of policies, contracts, ...)"
16,Governance,"Reinventing the wheel (spii, osnl projects, eosc, eosc-nl - to some extent all working on the same thing)"
17,Governance,Resources are not pooled (enough) for the whole sector or for national initiatives. Fragmentation will therefore always exist
18,Governance,Shared guiding principles
19,Governance,Sharpening the vision
20,Governance,"Too many opinions, how to align?"
21,Governance,"Varying levels of organisational maturity to connect to OS infrastructure, e.g. differences between universities and UAS"
22,Governance,Willingness to give up institutional autonomy ?
1,Interoperability,agreeing on standards across domains
2,Interoperability,Aligning existing already developed solutions
3,Interoperability,Interoperabilità
4,Interoperability,Interoperability
5,Interoperability,Lack of standars for interoperability
6,Interoperability,Operating standards
1,Security,IAM and security within the right boundaries
2,Security,Secure solutions for personal data
3,Security,Usability AND Security
1,Sustainability,not enough money
2,Sustainability,Long term funding (sustainability)
3,Sustainability,No thought about long term financial sustainability
4,Sustainability,Not enough structural support
5,Sustainability,Structural funding for support
6,Sustainability,Sustainability
7,Sustainability,Sustainability
8,Sustainability,Sustainability
9,Sustainability,Sustainability
10,Sustainability,Sustainable funding
11,Sustainability,Too little focus on sustainability
1,Terminology,A common language
2,Terminology,Language and common understanding
1,Usage,Broad usage
2,Users,Cultural attitude towardsOS
3,Users,lack of researchers picking up and maintaining open science infrastructure
4,Users,No knowledge on what researchers actually publish and tools they use
5,Users,Researcher-central approach
6,Users,User friendliness (like commercial products)
,other comments,Including the GWI
,other comments,Keeping open science democratic/open
,other comments,"Making everyine feel they are part of a common community, not in competition"
,other comments,Not invented here
,other comments,Openscience.nl being a competition
,other comments,Too many ideas too little time
,other comments,Visibility
