Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (UTC),Session,Voter,Which infrastructure are you working on/do you represent?:,Upvotes,Which infrastructure are you working on/do you represent?: 2,Upvotes,Which infrastructure are you working on/do you represent?: 3,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 1,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 2,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 3,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 4,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 5,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 6,Upvotes,What would a reference model need to address these challenges?:,Upvotes,Which proposed component of the reference model seems most valuable to you?:,"Beyond a reference model, what other expectations or needs do you have regarding a coherent Open Science infrastructure?: 1",Upvotes,"Beyond a reference model, what other expectations or needs do you have regarding a coherent Open Science infrastructure?: 2",Upvotes,"Beyond a reference model, what other expectations or needs do you have regarding a coherent Open Science infrastructure?: 3",Upvotes,Where could you contribute?:,Do you have additional suggestions or remarks or suggestions for Next events?: 1,Upvotes,Do you have additional suggestions or remarks or suggestions for Next events?: 2,Upvotes
2026-07-01,1,1,Pure,0,,,,,Finance in the long run,0,Finance,0,,,,,,,,,,,Interoperability framework,,,,,,,Development self-assessment tool,Focus on one area: organize research data,0,,
2026-07-01,1,2,All,0,,,,,Researcher-central approach,0,,,,,,,,,,,,,Values & principles,,,,,,,Landscape overview,More connections with research infrastructures broader than open science infrastructures,0,,
2026-07-01,1,3,the Human Infrastructure if the Dutch RDM support community,0,machine actionable DMPs/OSTrails NL Pilot,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,1,4,Research infrastructure as a whole,0,,,,,Too little focus on sustainability,0,,,,,,,,,,,,,Landscape overview,,,,,,,,,,,
2026-07-01,1,5,,,,,,,,,,,,,,,,,,,,,Values & principles,,,,,,,Interoperability framework,,,,
2026-07-01,1,6,4TU researchdata,0,,,,,,,,,,,,,,,,,,,Landscape overview,,,,,,,,,,,
2026-07-01,1,7,GWI grote wetenschappelijk infrastructuren,0,,,,,Language and common understanding,0,"Recogise the position of my own infra&project and how it connects, can be improved and made sustainable",0,,,,,,,,,,,Interoperability framework,,,,,,,Shared terminology,Ownership: invite other to organise the workshops PLUS ownership  on consultation (let them add questions to their network) AND on self assessment tool questions to be incorporated relevant to their,0,,
2026-07-01,1,8,PRC,0,,,,,Too many ideas too little time,0,"Too many opinions, how to align?",0,,,,,,,,,,,Interoperability framework,It just works,0,,,,,Interoperability framework,,,,
2026-07-01,1,9,Yoda,0,DCC-IN,0,,,"Organisational alignment (of policies, contracts, ...)",0,Usability AND Security,0,User friendliness (like commercial products),0,Secure solutions for personal data,0,,,,,,,Interoperability framework,Principles that ensure user value,0,Safety for respondents and researchers as well as data as pre-condition,0,Organisational interoperability for collaboration using the infrastructure,0,,Send questions for attendees to share within their organisation before the meeting to collect input,0,,
2026-07-01,1,10,,,,,,,Lack of standars for interoperability,0,,,,,,,,,,,,,Interoperability framework,,,,,,,Shared terminology,Please convince me that we need additional principle harmonizing work given that the universities have already signed off the NPOS principles.,0,,
