,category,Which infrastructure are you working on/do you represent?: 1,Number
1,CRIS,MORIS,
2,CRIS,CRIS,
3,CRIS,"CRIS, (data) Repositories,",
4,CRIS,DURF,
5,CRIS,DURF Dutch Repository Federation,
6,CRIS,Pure,
1,Disciplinary,Brightlands Plant open DataHub,
2,Disciplinary,Chains of the Past,
3,Disciplinary,CROWN,
4,Disciplinary,Health-RI,
5,Disciplinary,MICR,
6,Disciplinary,ODISSEI,
7,Disciplinary,OpenML,
8,Disciplinary,OPynSim,
9,Disciplinary,SLIPPRS,
10,Disciplinary,SPI-Birds,
11,Disciplinary,TDCC-LSH,
12,Disciplinary,TDCC-SSH / DANS,
1,General,Funding open science infrastructure,
2,General,Open science,
3,General,SPII,
4,General,SPII core team - Universities of Applied Sciences (DCC-PO),
5,General,the Human Infrastructure if the Dutch RDM support community,
1,Governance,Governance structures for OS infra in NL,
1,Hardware,Open Hardware,
2,Hardware,OSHNED,
1,ORI,Broccoli,
2,ORI,Broccoli,
3,ORI,OO Monitor,
1,OSC,Open science communities,
2,OSC,Osc,
3,OSC,"OSC, ORI, RDM, RMS, ...",
1,Policy,Cos,
2,Policy,COS UNL rep,
1,PUB,Diamond OA,
2,PUB,DOAJ,
3,PUB,DOAJ,
4,PUB,PRC,
5,PUB,WijsNL,
6,PUB,WUR journal browser,
1,RDM,4TU.ResearchData,
2,RDM,4TU.ResearchData,
3,RDM,4TU.ResearchData,
4,RDM,All,
5,RDM,Dans,
6,RDM,DCC-IN,
7,RDM,machine actionable DMPs/OSTrails NL Pilot,
8,RDM,Open Science Infrastructure: A platform connecting the mycological (fungal) data,
9,RDM,RDM,
10,RDM,"Rdm,
Durf,",
11,RDM,Yoda,
12,RDM,Yoda,
13,RDM,Yoda,
1,Research infrastructure,Everything at the TU/e but also HORA 3,
2,Research infrastructure,GWI grote wetenschappelijk infrastructuren,
3,Research infrastructure,Research ICT,
4,Research infrastructure,Research ICT,
5,Research infrastructure,Research -ICT,
6,Research infrastructure,Research infrastructure as a whole,
1,RSM,Netherlands eScien Center,
2,RSM,Research Software Directory,
,,None,
,,None,
,,,
,,59 participants responde; more than 1 answer allowed,
