posters,other subprinciples suggested
1.2,researcher -centric / use-centered
1,frictionless user experiences
1,make sure you have users
2,respect user workflows
2,user feedback in design
8,gebruikersvriendeelijk voor verschillende doelgroepen
"4, 5",accessibility
3,equal access
3,access from outside academia (i.e. proxy for Edugain)
3,natural language quiries
3,dissemination non-academic channels
4,make technical knowledge accessible
4,provide trainiing materials
,Other suggestions
1,invest in engagement of board members
1,orchestrate change/align/tuimiing change nationally of process engineering
,expand existing (don't reinvent wheel)
,protection layers for AI where needed
4,clarity
4,extensibility
4,agnostic versus specific
4,reliabilty
4,concentric description
